C_m/delta,δ=-5.0°,δ=-4.0°,δ=-3.0°,δ=-2.0°,δ=-1.0°,δ=0.0°,δ=1.0°,δ=2.0°,δ=3.0°,δ=4.0°,δ=5.0°,δ=6.0°,δ=7.0°,δ=8.0°,δ=9.0°,δ=10.0°,δ=11.0°,δ=12.0°,δ=13.0°,δ=14.0°,δ=15.0°,δ=16.0°,δ=17.0°,δ=18.0°,δ=19.0°,δ=20.0°
α=-5.0°,0.055848622939800516,0.049895007368635835,0.043847171108618875,0.03771729761226791,0.03151664914305214,0.02525759477842244,0.018922275560304676,0.012543538553234056,0.006169834813470217,-0.00018638555972011613,-0.0065124338970637356,-0.01279524338150036,-0.019021583006417084,-0.02517647611150224,-0.031244099474160028,-0.037206692637956715,-0.04304609586754655,-0.04874248175739796,-0.05427329194239027,-0.059612783493268866,-0.06473143764439133,-0.06959511144670275,-0.07416376412158844,-0.07839019952105085,-0.08221984694075003,-0.08558465115101321
α=-4.0°,0.05802859505758834,0.05198111401122608,0.0458413438183517,0.039622821070293295,0.03333674983102589,0.02699330808530131,0.020585958632988823,0.014135882609327466,0.0076922547232048145,0.0012665555738694209,-0.005129322662290279,-0.011482854343648508,-0.017780819062583348,-0.024009651235776478,-0.030154647627217375,-0.03619989031239329,-0.042128247611675905,-0.04792090692567524,-0.053558540438243714,-0.05901851465017362,-0.06427447938402979,-0.06929705802438552,-0.07405227714239081,-0.07850134573877146,-0.08259989489808384,-0.08629306959282285
α=-3.0°,0.05991454482463107,0.05379466817566948,0.04758337674158898,0.04129316355809317,0.03493650515457833,0.028524215006698835,0.022060655583026133,0.0155549746998177,0.009056137671614202,0.0025759244191193194,-0.003874478967573887,-0.010283540992292117,-0.016639066711713918,-0.022927764651271377,-0.029135228417719424,-0.0352474280949803,-0.04124843851362238,-0.04712151637831338,-0.052848472002871114,-0.05840844035137454,-0.0637795648985285,-0.0689354101114465,-0.0738463266878891,-0.07847973882698937,-0.08279806551606278,-0.08675791863614878
α=-2.0°,0.06155179735669201,0.05537542430463986,0.04910929875113154,0.042765891566952485,0.03635595228437233,0.029890388116446384,0.02338543115021973,0.016839040015855036,0.010300002126487504,0.0037792059245500102,-0.0027120860885878426,-0.009162095833379241,-0.015560106377301774,-0.021893567139046943,-0.02814931872013994,-0.034313185182963,-0.040370286239773207,-0.046305655203065836,-0.05210262000915977,-0.05774270732817581,-0.06320547860744923,-0.06846834974267149,-0.0735063834698946,-0.07829117359952056,-0.08279022410949928,-0.08696702335159823
α=-1.0°,0.0629736482390742,0.056758899174556766,0.050453634993322456,0.0440714565226754,0.03762398139091145,0.03112163037884012,0.02459031340719435,0.018017772949202565,0.011452997049985215,0.004906569365924918,-0.0016107558976997465,-0.008087996455908434,-0.014513604353359051,-0.02087618922521073,-0.027163612233417345,-0.03336292372558884,-0.03946007718814637,-0.045440076525165615,-0.05128782195204964,-0.05698689270736215,-0.06251924144476362,-0.06786494704009455,-0.07300227776952557,-0.07790536625583468,-0.08254642410654164,-0.08689481924633502
α=0.0°,0.06420899898022707,0.057972997311486855,0.051646069299350617,0.04524088108106449,0.03877032014407825,0.032245621273236026,0.02570287721040893,0.019119220523622058,0.012543254594434556,0.005986188500674818,-0.000541907309743396,-0.00703048236253358,-0.013469113422710363,-0.019846302444288172,-0.02614937050609993,-0.03236703200088917,-0.03848617226600939,-0.044492809749675066,-0.05037313425011491,-0.05611117523960199,-0.06169048591269554,-0.06709378355575002,-0.0723016232880408,-0.0772916550075966,-0.08203817990776784,-0.08651394735214385
α=1.0°,0.06528780828469949,0.05904529177513995,0.05271158804267318,0.04630019732289531,0.039822287762479695,0.03329016275600968,0.026750691034866103,0.020171107696297208,0.013599354763749573,0.007045905876488334,0.000521400216088436,-0.005963155580056959,-0.012398311525018994,-0.018773420572862423,-0.025076965068059273,-0.03129712955957304,-0.03741974645709039,-0.043433643944975966,-0.04932560903556604,-0.055081492893303566,-0.06068579292309304,-0.06612223493215566,-0.07137276726090457,-0.07641840925958775,-0.081237413984155,-0.08580476236318453
α=2.0°,0.06623527989526122,0.06000274728315096,0.053677593231818956,0.04727435850729121,0.04080484211038038,0.0342807630062483,0.027759772126717385,0.02119916995828553,0.01464695157773707,0.008113350172990514,0.0016082417795692228,-0.004857819576156697,-0.011274622778769934,-0.01763077240469017,-0.02391569686836633,-0.030118757387576425,-0.03622814010237334,-0.042231565068974665,-0.04811588888879553,-0.053867188510375766,-0.059472352060085706,-0.06491654181480232,-0.07018443000330378,-0.07525781604258347,-0.0801165281141912,-0.08473852996867098
α=3.0°,0.06707789545287944,0.06087240391453238,0.054571705084756915,0.04819145020395807,0.04174499519042657,0.03524477710402633,0.028757603122640304,0.02223161940229527,0.015713649926145514,0.00921475681295723,0.002745734324195493,-0.0036838875786298782,-0.010064805910583577,-0.016385781555487124,-0.02263647791645128,-0.028805022902480007,-0.03488024281296046,-0.040851396675004606,-0.04670699644045585,-0.05243380120432509,-0.05801855064115277,-0.06344727670766442,-0.0687041274704483,-0.07377406036853251,-0.07863821989557433,-0.0832760791673494
α=4.0°,0.06784550927617289,0.061681826780535215,0.05542170641429994,0.0490806452900115,0.042672807228338834,0.036211383732123334,0.029773465092033696,0.023298224655086425,0.016831966524796498,0.010384651605377096,0.003966683017255388,-0.0024115827036391207,-0.00873856410729632,-0.015005216300715657,-0.021201326627435763,-0.027317110211694768,-0.033340879776890445,-0.039261447469707215,-0.045066483309537234,-0.05074365529429325,-0.056281232789437786,-0.061665564012731336,-0.06688429571764659,-0.07192131220906,-0.0767588816409379,-0.08137779271231178
α=5.0°,0.0685706357218168,0.06246437983107877,0.05626074996844693,0.04997575112595385,0.04362290909871048,0.03721629923134561,0.03084356965416441,0.0244343996091778,0.01803454722215671,0.011655913201223483,0.005308279700685888,-0.0009981656889211045,-0.007254888676862594,-0.013451108451324592,-0.019576173641068385,-0.025618061808437644,-0.031566613603349294,-0.03741153456419827,-0.04314230800858605,-0.04874736460247961,-0.054213858937824926,-0.05952909284390307,-0.06467918601476547,-0.06964911883098583,-0.07442338810406361,-0.07898367539441194
α=6.0°,0.06929231115765223,0.06326060814484837,0.057129091446714776,0.0509152482057189,0.04463367987468704,0.03829843275861737,0.03200786299490124,0.025683147203567052,0.019368896880581295,0.013075748175389068,0.006814349083095902,0.0005950409999171088,-0.005570466527310981,-0.011673399283634861,-0.017703407288266665,-0.023651021739453267,-0.029504933614135292,-0.035254090890667604,-0.040887277574622946,-0.046390550530729206,-0.05175431308919614,-0.05696613701397548,-0.062014704572472386,-0.06688555118000704,-0.07156066635274631,-0.07602123003044409
α=7.0°,0.07005909526392631,0.06411989112286423,0.0580780260297489,0.05195217066650111,0.04575829528271099,0.03951129975650962,0.0333201946485393,0.02709662720320046,0.020884701174456365,0.014697503964015715,0.008544304014554811,0.002435667069181765,-0.0036198598644205226,-0.009611363189677065,-0.015527659826822332,-0.021357096798268197,-0.02708781429860112,-0.03271071279822969,-0.03821484910779539,-0.043589719546910606,-0.04882261311972975,-0.05390050797437267,-0.058811968356283655,-0.06353950724617506,-0.0680650761436605,-0.07237114453670444
α=8.0°,0.07093854891859885,0.06510837674774067,0.05917396182464974,0.0531539505639974,0.04706561100933322,0.04092507381387649,0.03485319878211891,0.02875273745256304,0.022666006247078097,0.016603390916748353,0.010576642920869244,0.004596682194258073,-0.0013245435047163508,-0.007176321009385148,-0.012948736748999629,-0.01863129859897693,-0.024214090029335816,-0.029684568783854975,-0.03503138304736189,-0.04024175373958712,-0.045299697977202534,-0.05019520433307809,-0.05491681423819942,-0.05944661136940004,-0.0637662163225842,-0.06785363279178713
α=9.0°,0.07203057390741881,0.06632886116999084,0.06052100517222739,0.05462628241317269,0.048662955844310046,0.042649075182677305,0.036717695501376824,0.030759963402343337,0.02481781117556851,0.018905284808403915,0.013033851293092686,0.007213933801174642,0.0014554325865959563,-0.00423196420054522,-0.009834571905299882,-0.015340966124301383,-0.02073685411714074,-0.02600947413556852,-0.031148997792936558,-0.03614194480278056,-0.04097494082818337,-0.0456337596043748,-0.05010389396148319,-0.0543429955733398,-0.05801708922160962,-0.06142799573356705
α=10.0°,0.07349589926526809,0.06794428048950132,0.062284449004883224,0.05653745555804872,0.05072224601500611,0.04485836069600349,0.0390944011756609,0.0333105733922229,0.02754656431552722,0.021814821388025738,0.01612625382643931,0.010494495293590303,0.004931346180200334,-0.0005484136663596627,-0.005930955740816827,-0.011206031898611597,-0.016359655926005107,-0.02138033944827855,-0.0262529218458366,-0.03095972267239421,-0.03541250427360247,-0.0393696367357613,-0.043150598057868125,-0.04682119622276431,-0.05041327825497433,-0.053945578615444405
α=11.0°,0.07566878577029452,0.07029727049260287,0.06481474644468305,0.05924400266987411,0.05360588225022412,0.0479234215772059,0.04236361649756706,0.03678843803648023,0.031238401816892046,0.025728238206117197,0.02027432680520611,0.014893440733526966,0.009594587566194579,0.004392080965003376,-0.0007000550273200118,-0.005616070075964985,-0.010163734824885471,-0.01449907195583416,-0.01873874891414219,-0.022884970174582894,-0.026970399133620263,-0.03095905821001267,-0.034812397130960744,-0.03856578130988356,-0.04222918555762367,-0.045766311391342275
α=12.0°,0.07952197642724265,0.07437133128274483,0.06911190574800474,0.06377807395829842,0.05840625915586422,0.05303574669953818,0.04789469656949474,0.04277383220361571,0.03771651077463533,0.03269102471500238,0.027700336160484805,0.022760287570364333,0.017876140503289364,0.013057903671449426,0.00831274759376785,0.003645015153866948,-0.0009256645628698085,-0.005377657344813187,-0.00971735608027721,-0.013945358148794678,-0.01806923901840805,-0.022089675721827635,-0.02599393451087797,-0.029730272910888318,-0.033320297197986716,-0.0367882386983473
α=13.0°,0.08377432702673991,0.07917361984536521,0.07449399963141427,0.0697591357673736,0.0649838794035715,0.06018470026729993,0.05552116217857229,0.050836208099184856,0.04610024070230589,0.041288712338349624,0.03641443797595564,0.031521883525777956,0.02664975157638057,0.021825507384801452,0.017086210946564772,0.012436521263478023,0.007881223716267056,0.0034309859996484175,-0.000908516479147947,-0.005135722862848394,-0.009239381394613626,-0.01321691629799874,-0.017083637628703886,-0.02082699472761876,-0.024442474040610566,-0.027911875150024336
α=14.0°,0.08020505047803876,0.07526672300659502,0.07025683194886718,0.0651031512389378,0.05984999670730192,0.05454993607647092,0.049408925080806916,0.04428925777444909,0.03918112167678148,0.03408967379770196,0.02902228067499017,0.023916956855825587,0.018820013627198436,0.013798482815344956,0.008837690994219253,0.003914768173515404,-0.001066257086197536,-0.006154178779359961,-0.011043353238647842,-0.01583389798455486,-0.020888877040778416,-0.02578025639224932,-0.030426347339822156,-0.025626671033720457,-0.02503457253716551,-0.026473223843594924
α=15.0°,0.07516145401744888,0.06986786495078172,0.0644417868599697,0.058901561799528226,0.05326819440780729,0.047580953825584665,0.04198478531840399,0.03631753747699422,0.030703211767025607,0.025115544471855714,0.01955989686440327,0.013979044273625152,0.00816244992368282,0.0025645316784723695,-0.0029210473647645575,-0.008364643571446407,-0.013889474119609632,-0.019572474941109388,-0.024942311082084428,-0.03018005555328487,-0.03530753819069105,-0.040669401255908816,-0.04583324698096006,-0.03572995900734026,-0.030382265772252885,-0.028427744807923906
α=16.0°,0.06943445779413586,0.06385961746296397,0.05813040361801981,0.0522726641497809,0.046306679308248964,0.04026343646803184,0.03435727845728405,0.02844460218084531,0.02255141081687103,0.016685261115395027,0.010816002902981547,0.004752304246587879,-0.0012281820236432074,-0.007056498055501214,-0.01281763622123387,-0.018530697891562285,-0.024319437314808328,-0.030179222297221583,-0.035735938056942244,-0.04111591700046467,-0.04635544260135144,-0.05151867948532665,-0.056929776657394224,-0.04632986783236724,-0.03835606680231006,-0.033391905805116986
α=17.0°,0.06362560252268132,0.057800751505038946,0.051807307821361046,0.04568751200001723,0.0394563502632343,0.03313202790534311,0.026993190928805817,0.02089841169575216,0.014656812634994363,0.008328140612966568,0.0021803755307982834,-0.0038363686461342474,-0.009831648005718301,-0.015814949050208298,-0.021983650479130947,-0.028089424086378535,-0.033869941657082535,-0.03949838255910168,-0.045031060235916284,-0.05048907587615129,-0.05603383548742733,-0.06155773100078521,-0.06664944854994521,-0.05648965819115623,-0.047422862496733144,-0.04040738415092507
α=18.0°,0.057430537173349984,0.05149354791083522,0.04531272747253559,0.03897425198745662,0.03252925346534984,0.02600119273278165,0.019663701874076095,0.013325984918701805,0.006767796315562728,0.0004178707531175671,-0.005821749225751199,-0.011984964122184655,-0.018126860724912198,-0.024253678556958806,-0.030533880293569588,-0.036645580332418395,-0.042490614574408,-0.04818590672206162,-0.05376945759118032,-0.059242413469926966,-0.06462318586620126,-0.0702409438831424,-0.07549363577605135,-0.0659916469836038,-0.05670725474016847,-0.04855731944554677
α=19.0°,0.05134664656053821,0.045088355773399,0.03866537115966916,0.03212252505285175,0.025481518369641288,0.018763960371477175,0.01227420626163288,0.005852676898698333,-0.0006530240069696702,-0.007325971921352306,-0.013752230590501461,-0.020042912305837105,-0.026244414309470956,-0.032350496613107224,-0.038415243078749585,-0.04463047746090224,-0.0507656592218438,-0.056588588295463704,-0.06224159670259723,-0.06771191799215792,-0.07306749367071319,-0.07832271884855307,-0.0834456189338722,-0.074718632958738,-0.06571294384945323,-0.0571351316475
α=20.0°,0.04487148139901795,0.03840822229385173,0.031791474271326135,0.025069979653824456,0.018263071094705048,0.01139115004493065,0.004773794526164099,-0.0017409164719224776,-0.008236864475355753,-0.014719822152650735,-0.021406386034451448,-0.02794113747342422,-0.03426121838933601,-0.04043516501445686,-0.04651339572789501,-0.04557193659439862,-0.04816879790812121,-0.05237869310179245,-0.05731014490219484,-0.06251103144717637,-0.06778926255894478,-0.07305599070374894,-0.07825080481881057,-0.07648471888877428,-0.07109883136911375,-0.06411698150830687
